facility_type,facility_number,facility_name,licensee,facility_administrator,facility_telephone_number,facility_address,facility_city,facility_state,facility_zip,county_name,regional_office,facility_capacity,facility_status,license_first_date,closed_date,file_date
RESIDENTIAL CARE ELDERLY,331800087,MERCY HOME 3,"AJUNWA, MERCILLINA","AJUNWA, MERCILLINA",(951) 599-0565,36427 PISTACHIO DRIVE,WINCHESTER,CA,92596,RIVERSIDE,56,6,LICENSED,2/24/2017,,05252025
RESIDENTIAL CARE ELDERLY,340312763,MERCY MCMAHON TERRACE,MERCY MCMAHOM TERRACE,MARY ERICKSON,(916) 733-6510,3865 J STREET,SACRAMENTO,CA,95816,SACRAMENTO,27,189,LICENSED,1/24/1990,,05252025
RESIDENTIAL CARE ELDERLY,197610287,MERCY SENIOR LIVING,MERCY SENIOR LIVING,"GABRIELIAN, ANI",(626) 251-6729,17412 TILFORD CT,GRANADA HILLS,CA,91344,LOS ANGELES,31,6,CLOSED,,6/7/2022,05252025
RESIDENTIAL CARE ELDERLY,371881474,MERCY VILLA,MERCY VILLA LLC,"DEGUZMAN, MA MEVYL",(619) 817-6568,651 ALDER DRIVE,SAN MARCOS,CA,92069,SAN DIEGO,18,6,LICENSED,9/27/2023,,05252025
RESIDENTIAL CARE ELDERLY,197608758,MERI ELLA HOME,"DEPENDABLE OVERNIGHT CARE, INC.",ANNA HAIRAPETYAN,(747) 247-2261,8140 MATILIJA AVENUE,VAN NUYS,CA,91402,LOS ANGELES,29,6,CLOSED,11/17/2015,10/19/2021,05252025
RESIDENTIAL CARE ELDERLY,306005460,"MERIDIAN AT ANAHEIM HILLS, THE",PACIFICA SL ANAHEIM HILLS LLC;PACIFICA SL MGMT LLC,"BOTTINELLI, SHELIA",(714) 974-2226,525 S. ANAHEIM HILLS ROAD,ANAHEIM,CA,92807,ORANGE,22,120,CLOSED,4/26/2019,9/30/2020,05252025
RESIDENTIAL CARE ELDERLY,306005730,"MERIDIAN AT ANAHEIM HILLS, THE",HSRE MERIDIAN AT ANAHEIM HILLS TRS LLC; ANAHEIM,"PELLICER, RAY",(714) 974-2226,525 S ANAHEIM HILLS ROAD,ANAHEIM,CA,92807,ORANGE,22,120,LICENSED,9/30/2020,,05252025
RESIDENTIAL CARE ELDERLY,197608788,MERIDIAN AT BELLA MAR,825 SM MERIDIAN HOLDINGS; MERIDIAN SR. LVG. LLC,SHAWN C. MOONEY,(310) 393-5258,825 OCEAN AVE,SANTA MONICA,CA,90403,LOS ANGELES,11,36,CLOSED,6/19/2017,2/28/2023,05252025
RESIDENTIAL CARE ELDERLY,361880893,MERIDIAN AT CHINO,HSRE PACIFICA HILLSBOROUGH TRS LLC; HILLSBOROUGH,ISABEL ENRIQUEZ,(909) 548-2100,11918 CENTRAL AVENUE,CHINO,CA,91710,SAN BERNARDINO,56,156,LICENSED,5/28/2020,,05252025
RESIDENTIAL CARE ELDERLY,306004520,MERIDIAN AT LAGUNA HILLS,SNH SE TENANT TRS INC;PACIFICA SENIOR LVG MGMT LLC,MARIA ROSSI,(949) 581-6111,24552 PASEO DE VALENCIA BLDG A,LAGUNA HILLS,CA,92653,ORANGE,22,150,CLOSED,11/1/2012,9/6/2024,05252025
RESIDENTIAL CARE ELDERLY,306005804,"MERIDIAN AT LAGUNA HILLS, THE",PACIFICA LAGUNA HILLS LLC; LAGUNA HILLS MGR LLC,"JENSEN, ERIC",(949) 581-6111,24552 PASEO DE VALENCIA BLDG A,LAGUNA HILLS,CA,92653,ORANGE,22,200,LICENSED,9/6/2024,,05252025
RESIDENTIAL CARE ELDERLY,374603339,"MERIDIAN AT LAKE SAN MARCOS, THE",PACIFICA L 24 LLC; SAN MARCOS MGR LLC,AMY BANAGA,(760) 510-7500,1177 SAN MARINO DR BLDG 1 & 2,SAN MARCOS,CA,92078,SAN DIEGO,18,170,LICENSED,3/14/2014,,05252025
RESIDENTIAL CARE ELDERLY,197608787,MERIDIAN AT OCEAN VILLA,413 SM MERIDIAN HOLDINGS; MERIDIAN SR. LVG. LLC.,SHAWN C MOONEY,(310) 393-0242,413 OCEAN AVE,SANTA MONICA,CA,90402,LOS ANGELES,11,36,CLOSED,6/19/2017,3/3/2023,05252025
RESIDENTIAL CARE ELDERLY,197609522,MERIDIAN ELDERLY ASSISTED LIVING,MERIDIAN ELDERLY ASSISTED LIVING CORP.,"TAN, C SAMUEL",(818) 308-7553,11343 SATICOY STREET,SUN VALLEY,CA,91352,LOS ANGELES,31,6,LICENSED,3/16/2018,,05252025
RESIDENTIAL CARE ELDERLY,198602202,MERIDIAN HOME CARE,MERIDIAN HOME CARE INC,"SAN AGUSTIN, JENNIFER G",(310) 533-7898,20526 WOOD AVENUE,TORRANCE,CA,90503,LOS ANGELES,11,6,LICENSED,12/5/2016,,05252025
RESIDENTIAL CARE ELDERLY,197802496,MERIDIAN MANOR,"NYCZAK, EWA","NYCZAK, EWA",(323) 344-8700,1325 MERIDIAN AVENUE,SOUTH PASADENA,CA,91030,LOS ANGELES,28,6,LICENSED,4/23/1999,,05252025
RESIDENTIAL CARE ELDERLY,435294299,MERIDIAN MANOR 2 LLC (RCFE),MERIDIAN MANOR 2 LLC,"MAGNO, DAVE",(408) 532-7304,5486 YALE DRIVE,SAN JOSE,CA,95118,SANTA CLARA,26,3,LICENSED,5/20/2008,,05252025
RESIDENTIAL CARE ELDERLY,435202412,MERIDIAN MANOR 3 SPECIAL RES FAC FOR ELDERLY(RCFE),MERIDIAN MANOR 3 LLC,DAVE MAGNO,(408) 772-0339,345 BURNETT AVE.,MORGAN HILL,CA,95037,SANTA CLARA,26,4,LICENSED,12/16/2013,,05252025
RESIDENTIAL CARE ELDERLY,435202885,MERIDIAN VILLA,"CHERRY VILLA, INC.",ROSANA MENDOZA,(408) 440-2445,2755 MERIDIAN AVE,SAN JOSE,CA,95124,SANTA CLARA,26,6,LICENSED,3/22/2023,,05252025
RESIDENTIAL CARE ELDERLY,015601480,MERISOL CARE,"MARI, ANTONIA",ANTONIA MARI,(510) 894-2326,35002 VINCENTE CT.,FREMONT,CA,94536,ALAMEDA,15,6,LICENSED,6/29/2011,,05252025
RESIDENTIAL CARE ELDERLY,019201447,MERISOL CARE HOME,"MARI, ANTONIA B & BACANI, SOLEDAD F","BACANI, SOLEDAD",(510) 431-3832,4102 PLEIADES PLACE,UNION CITY,CA,94587,ALAMEDA,15,6,LICENSED,4/24/2018,,05252025
RESIDENTIAL CARE ELDERLY,079200750,MERISOL CARE HOME,"MARI, ANTONIA B & BACANI, SOLEDAD F","BACANI, SOLEDAD",(510) 431-3832,4102 PLEIADES PLACE,UNION CITY,CA,94587,CONTRA COSTA,15,6,LICENSED,4/24/2018,,05252025
RESIDENTIAL CARE ELDERLY,374603274,MERRILL GARDENS AT BANKERS HILL,MG TENANT LLC; MERRILL GARDENS LLC,LORI HANSEN,(619) 209-5216,2567 2ND AVE,SAN DIEGO,CA,92103,SAN DIEGO,08,100,CLOSED,5/18/2012,9/1/2021,05252025
RESIDENTIAL CARE ELDERLY,374604405,MERRILL GARDENS AT BANKERS HILL,"MG AT BANKERS HILL,LP;SHI-IV MERRILL GP,LLC; ET AL","HANSEN, LORI",(619) 209-5216,2567 2ND AVENUE,SAN DIEGO,CA,92103,SAN DIEGO,08,100,LICENSED,9/1/2021,,05252025
RESIDENTIAL CARE ELDERLY,079201096,MERRILL GARDENS AT BRENTWOOD,"HSVI GP, LLC ; MERRILL GARDENS L.L.C.","LATIMER, JOYCE",(206) 676-5300,2600 BALFOUR RD,BRENTWOOD,CA,94513,CONTRA COSTA,15,150,CLOSED,,2/16/2022,05252025
RESIDENTIAL CARE ELDERLY,079201165,MERRILL GARDENS AT BRENTWOOD,"HSVI GP, LLC, MERRILL GARDENS LLC","SHIELDS, JERYL",(925) 297-6841,2600 BALFOUR RD,BRENTWOOD,CA,94513,CONTRA COSTA,15,150,LICENSED,5/25/2022,,05252025
RESIDENTIAL CARE ELDERLY,435202572,MERRILL GARDENS AT CAMPBELL,"SHI-III MG GP, SHI-III CAMPBELL; MERRILL GARDENS","BRADLEY, BURGOYNE",(408) 370-6454,2115 S WINCHESTER BLVD,CAMPBELL,CA,95008,SANTA CLARA,26,166,LICENSED,10/9/2017,,05252025
RESIDENTIAL CARE ELDERLY,435202344,MERRILL GARDENS AT GILROY,MG TENANT LLC; MERRILL GARDENS LLC,"ATKINSON, DIANE",(408) 842-0113,7600 ISABELLA WAY,GILROY,CA,95020,SANTA CLARA,26,214,CLOSED,4/20/2015,9/10/2021,05252025
RESIDENTIAL CARE ELDERLY,435202806,MERRILL GARDENS AT GILROY,"MG AT GILROY, LP ; SHI-IV MERRILL GP, LLC ; MERRIL",BILLY MITCHELL,(206) 676-5300,7610 ISABELLA WAY,GILROY,CA,95020,SANTA CLARA,26,214,LICENSED,9/10/2021,,05252025
RESIDENTIAL CARE ELDERLY,306005275,MERRILL GARDENS AT HUNTINGTON BEACH,SHI-III MG GP OF SHI-III HUNTINGTON BCH; MERRILL G,"JOHNSON, JILL",(714) 842-6569,17200 GOLDENWEST ST,HUNTINGTON BEACH,CA,92647,ORANGE,22,150,LICENSED,10/6/2017,,05252025
RESIDENTIAL CARE ELDERLY,079200597,MERRILL GARDENS AT LAFAYETTE,"SHI-III MG GP, SHI-III LAFAYETTE; MERRILL GARDENS","SINGH, KAMAR",(925) 299-6912,1010 2ND ST,LAFAYETTE,CA,94549,CONTRA COSTA,15,100,LICENSED,5/25/2017,,05252025
RESIDENTIAL CARE ELDERLY,275202591,MERRILL GARDENS AT MONTEREY,MERRILL GARDENS AT MONTEREY; MERRILL GARDENS LLC,TIFFANEY SANTORO,(831) 250-0930,200 IRIS CANYON RD,MONTEREY,CA,93940,MONTEREY,24,150,LICENSED,5/25/2017,,05252025
RESIDENTIAL CARE ELDERLY,374603371,MERRILL GARDENS AT OCEANSIDE,MG TENANT LLC; MERRILL GARDENS LLC,"PEREZ, MARIANO",(760) 414-9411,3500 LAKE BLVD,OCEANSIDE,CA,92056,SAN DIEGO,08,175,CLOSED,6/20/2014,9/24/2021,05252025
RESIDENTIAL CARE ELDERLY,361880525,MERRILL GARDENS AT RANCHO CUCAMONGA,"SHI-III MG DEV, RANCHO CUCAMONGA; MERRILL GARDENS",USMAN CHAUDARY,(909) 303-9545,9942 HIGHLAND AVENUE,RANCHO CUCAMONGA,CA,91737,SAN BERNARDINO,56,150,LICENSED,10/1/2018,,05252025
RESIDENTIAL CARE ELDERLY,019200879,MERRILL GARDENS AT ROCKRIDGE,SHI-III MG ROCKRIDGE GP LLC;MERRILL GARDENS LLC,NIARE DAWN FEASTER,(510) 338-4543,5238 CORONADO AVE,OAKLAND,CA,94618,ALAMEDA,15,150,LICENSED,1/23/2020,,05252025
RESIDENTIAL CARE ELDERLY,198320089,MERRILL GARDENS AT ROLLING HILLS ESTATES,"SHI-III MG DEV, GP ROLLING HILLS; MERRILL GARDENS",TRACEY E HOLDER,(310) 974-3339,627 SILVER SPUR RD,ROLLING HILLS,CA,90274,LOS ANGELES,11,150,LICENSED,10/8/2020,,05252025
RESIDENTIAL CARE ELDERLY,425801806,MERRILL GARDENS AT SANTA MARIA,MG TENANT LLC; MERRILL GARDENS LLC,"SHERBERG, AUDIE",(805) 928-2662,1220 SUEY ROAD,SANTA MARIA,CA,93454,SANTA BARBARA,29,330,CLOSED,1/10/2013,9/10/2021,05252025
RESIDENTIAL CARE ELDERLY,425850140,MERRILL GARDENS AT SANTA MARIA,"MG AT SANTA MARIA, LP ; SHI-IV MERRILL GP, LLC ; M",MICHAEL EASBEY,(805) 928-2662,1220 SUEY ROAD,SANTA MARIA,CA,93454,SANTA BARBARA,29,330,LICENSED,9/10/2021,,05252025
RESIDENTIAL CARE ELDERLY,198603348,MERRILL GARDENS AT WEST COVINA,"SHI-III MG DEV GP, LLC; MERRILL GARDENS, LLC","FISCHER, SHERRY",(626) 587-4318,1400 WEST COVINA PKWY,WEST COVINA,CA,91790,LOS ANGELES,28,150,LICENSED,10/1/2020,,05252025
RESIDENTIAL CARE ELDERLY,435202159,MERRILL GARDENS AT WILLOW GLEN,MG TENANT LLC; MERILL GARDENS LLC,KIM GOLDEN,(408) 283-0941,1420 CURCI DR,SAN JOSE,CA,95126,SANTA CLARA,26,150,CLOSED,5/27/2009,11/3/2021,05252025
RESIDENTIAL CARE ELDERLY,435202807,MERRILL GARDENS AT WILLOW GLEN,"MG AT WILLOW GLEN, LP ;SHI-IV MERRILL GP,LLC;ET AL","GOLDEN, KIM",(408) 283-0941,1420 CURCI DRIVE,SAN JOSE,CA,95126,SANTA CLARA,26,150,LICENSED,11/3/2021,,05252025
RESIDENTIAL CARE ELDERLY,430708102,MERTZ CARE HOME,"MERTZ, ELVIRA MONTECLARO","MERTZ, ELVIRA",(408) 483-2748,2715 MCLAUGHLIN AVENUE,SAN JOSE,CA,95121,SANTA CLARA,26,6,LICENSED,8/27/1986,,05252025
RESIDENTIAL CARE ELDERLY,435200786,MERTZ CARE HOME III,"MERTZ CARE HOME, INC.","JIMENEZ, Y. ROGELINE",(408) 532-7020,3928 THAINWOOD WAY,SAN JOSE,CA,95121,SANTA CLARA,26,6,LICENSED,1/26/2000,,05252025
RESIDENTIAL CARE ELDERLY,345002817,MERYL'S CARE HOME,MERYL'S BOARD & CARE HOME LLC,"ABELARDO, BERYL",(916) 467-2492,9495 DEANNA AVE.,ORANGEVALE,CA,95662,SACRAMENTO,59,6,LICENSED,10/27/2021,,05252025
RESIDENTIAL CARE ELDERLY,315002914,MERYL'S LAKESIDE CARE HOME,MERYL'S BOARD & CARE HOME LLC,"ABELARDO, BERYL",(916) 899-5406,4531 WATERSTONE DR,ROSEVILLE,CA,95747,PLACER,59,6,LICENSED,9/6/2022,,05252025
RESIDENTIAL CARE ELDERLY,547209250,MERZOIAN RANCH 2 LLC,MERZOIAN RANCH 2 LLC,"EVANS, KIMILA",(559) 361-5356,668 W. WILLOW OAK AVE.,PORTERVILLE,CA,93257,TULARE,24,4,LICENSED,10/28/2022,,05252025
RESIDENTIAL CARE ELDERLY,547201874,MERZOIAN RANCH LLC.,MERZOIAN RANCH LLC,"EVANS, KIMILA",(559) 793-1786,21402 AVENUE 112,PORTERVILLE,CA,93257,TULARE,24,6,LICENSED,5/23/2005,,05252025
RESIDENTIAL CARE ELDERLY,370804455,MESA BOARD AND CARE,"MESA, CECILIA","MESA, CECILIA",(619) 934-9144,3865 DARWIN AVENUE,SAN DIEGO,CA,92154,SAN DIEGO,08,6,LICENSED,8/26/1987,,05252025
RESIDENTIAL CARE ELDERLY,425801158,MESA CARE,"POLUNETS, ALEX & POLUNETS, VALENTINA",VALENTYNA POLUNETS,(805) 965-2428,2424 CALLE SORIA,SANTA BARBARA,CA,93109,SANTA BARBARA,29,6,LICENSED,10/28/2004,,05252025
RESIDENTIAL CARE ELDERLY,306005533,MESA DEL MAR ELDERLY CARE HOME,BERGUM GROUP HOMES INC,CYNTHIA SHAYAMUNDA,(657) 231-9647,1097 CORONA LN,COSTA MESA,CA,92626,ORANGE,22,6,LICENSED,12/21/2018,,05252025
RESIDENTIAL CARE ELDERLY,306002875,MESA VERDE RESIDENTIAL CARE CENTER,"MESA VERDE CONVALESCENT HOSPITAL, INC.",LAWRENCE TALEBI,(949) 548-5584,673 CENTER STREET,COSTA MESA,CA,92627,ORANGE,22,12,LICENSED,7/27/2006,,05252025
RESIDENTIAL CARE ELDERLY,374604063,MESAVIEW SENIOR ASSISTED LIVING,"MVSAL, LLC",GENOVEVA GUERRERO,(619) 466-0253,7971 CULOWEE STREET,LA MESA,CA,91942,SAN DIEGO,08,30,LICENSED,8/24/2018,,05252025
RESIDENTIAL CARE ELDERLY,275202752,MESSINGER CARE HOME,MESSINGER CARE HOME LLC,"ESTAMO, JUANITO JR",(831) 883-9386,3121 MESSINGER DR,MARINA,CA,93933,MONTEREY,24,6,LICENSED,3/20/2020,,05252025
RESIDENTIAL CARE ELDERLY,306006400,MG HEIGHTS I,MG & CO LLC,"RICO, CAROLYNE",(818) 572-3806,10612 LEXINGTON STREET,STANTON,CA,90680,ORANGE,22,5,LICENSED,11/27/2023,,05252025
RESIDENTIAL CARE ELDERLY,361800198,MGB CARMEL MANOR,MGB CARMEL MANOR INC,"BERNAL, GLENN",(909) 982-4786,457 WEST 13TH STREET,UPLAND,CA,91786,SAN BERNARDINO,56,6,LICENSED,11/29/2017,,05252025
RESIDENTIAL CARE ELDERLY,195850625,"MGM SENIOR LIVING, INC.","MGM SENIOR LIVING, INC.","BELLUYAN, SIRANUSH",(310) 623-7381,6271 N BUFFALO AVE,VAN NUYS,CA,91401,LOS ANGELES,29,6,PENDING,,,05252025
RESIDENTIAL CARE ELDERLY,366424263,MI CASA,"MI CASA ASSISTED LIVING, INC.",LUISA ACOSTA,(562) 882-7161,3079 SUNRISE COURT,CHINO HILLS,CA,91709,SAN BERNARDINO,56,6,CLOSED,11/9/2009,6/23/2021,05252025
RESIDENTIAL CARE ELDERLY,306006050,MIA RESIDENCE,ADOLFO HEALTHCARE GROUP INC,"ADOLFO, JED",(949) 305-5259,25475 ADRIANA ST,MISSION VIEJO,CA,92691,ORANGE,22,6,LICENSED,11/5/2021,,05252025
RESIDENTIAL CARE ELDERLY,197610688,MIAMON ASSISTANT LIVING,MIAMON ASSISTANT LIVING,"ROSTOMIAN, MUSHEG",(818) 642-3060,13847 TUCKER AVE,SYLMAR,CA,91342,LOS ANGELES,31,6,LICENSED,4/16/2025,,05252025
RESIDENTIAL CARE ELDERLY,336426763,"MICAH'S ELDERLY CARE, INC.","MICAH'S ELDERLY CARE, INC.",MYRNA VALENZUELA,(951) 532-7746,995 BOUQUET CIRCLE,CORONA,CA,92881,RIVERSIDE,56,6,CLOSED,6/17/2015,6/17/2021,05252025
RESIDENTIAL CARE ELDERLY,198203284,MICHAEL'S MANOR,"ZMB, INC.",PHILIP JOHN ROMERO,(310) 539-5502,23704 HYNFORD PLACE,HARBOR CITY,CA,90710,LOS ANGELES,11,6,LICENSED,8/28/2001,,05252025
RESIDENTIAL CARE ELDERLY,336412261,MICHAEL ANDREW CENTER,CANAAN HOME INC.,ROMEO LABASTIDA,(951) 343-9197,10904 ARIZONA AVE,RIVERSIDE,CA,92503,RIVERSIDE,18,6,LICENSED,9/27/2006,,05252025
RESIDENTIAL CARE ELDERLY,374603330,MICNET HOME CARE,"PAPA, GELDIA T.",GELDIA T. PAPA,(619) 793-6955,8715 STANWELL STREET,SAN DIEGO,CA,92126,SAN DIEGO,08,6,CLOSED,4/18/2013,4/14/2022,05252025
RESIDENTIAL CARE ELDERLY,347004293,MIDORI-EN CARE HOME,MIDORI-EN CARE HOME,MIDORI KAKUTA,(916) 922-3098,3119 MILL OAK WAY,SACRAMENTO,CA,95833,SACRAMENTO,27,4,LICENSED,7/6/2009,,05252025
RESIDENTIAL CARE ELDERLY,331881004,MIDTOWN VILLA,PACIFIC INLAND HEALTHCARE SYSYTEM CORPORATION,"AGBISIT, MICHAEL",(951) 566-6610,2789 RAFFERTY RD.,HEMET,CA,92545,RIVERSIDE,18,102,LICENSED,2/17/2021,,05252025
RESIDENTIAL CARE ELDERLY,107209388,MIK RESIDENTIAL SERVICES,MIK RESIDENTIAL SERVICES,"OSAGHAE, MOSES",(559) 708-1693,1399 N CAESAR AVENUE,FRESNO,CA,93727,FRESNO,24,4,CLOSED,,12/8/2023,05252025
RESIDENTIAL CARE ELDERLY,107209531,MIK RESIDENTIAL SERVICES,MIK RESIDENTIAL SERVICES,"OSAGHAE, IMADE",(559) 708-1693,1399 N CEASAR AVE,FRESNO,CA,93727,FRESNO,24,5,LICENSED,5/15/2025,,05252025
RESIDENTIAL CARE ELDERLY,331881412,MIKASA LIVING WELL,MIKASA LIVING WELL LLC,"KINCHERLOW, JACQUELINE",(310) 957-4637,570 FARMSTEAD STREET,HEMET,CA,92543,RIVERSIDE,18,3,CLOSED,8/21/2023,10/2/2024,05252025
RESIDENTIAL CARE ELDERLY,336424393,MIKE'S ANGELS LLC,MIKE'S ANGELS LLC,"MARTINEZ, LORENA",(909) 795-0163,318 SANDALWOOD DR,CALIMESA,CA,92320,RIVERSIDE,56,6,LICENSED,1/15/2010,,05252025
RESIDENTIAL CARE ELDERLY,191601239,MIKO INN,TONDA CORP.,NAWAL SFEIR,(310) 446-1714,3017 MALCOLM AVE,LOS ANGELES,CA,90034,LOS ANGELES,11,6,LICENSED,6/4/1991,,05252025
RESIDENTIAL CARE ELDERLY,366401080,MILAM MANOR,SIDNEY MILAM & SHIRLEY MILAM,"MILAM, SHIRLEY E.",(909) 825-8250,12787 RECHE CANYON ROAD,COLTON,CA,92324,SAN BERNARDINO,56,6,CLOSED,4/24/1996,12/31/2021,05252025
RESIDENTIAL CARE ELDERLY,019201003,MILAN VILLA SENIOR LIVING,"LA JOLLA COVE HOLDINGS, LLC","GOMBIO, JANICE",(925) 583-5777,740 HOLMES STREET,LIVERMORE,CA,94550,ALAMEDA,15,24,LICENSED,11/30/2020,,05252025
RESIDENTIAL CARE ELDERLY,347004963,MILES MANOR,"HAMILTON ENTERPRISES, LLC","ROSA, KIMBERLY",(916) 967-9049,4301 WATKINS DRIVE,FAIR OAKS,CA,95628,SACRAMENTO,59,15,LICENSED,11/2/2012,,05252025
RESIDENTIAL CARE ELDERLY,306005754,MILES PLACE OF FOUNTAIN VALLEY,"MILES PLACE, INC.","AVENDANO, REINER",(949) 273-9951,18667 SAN FELIPE STREET,FOUNTAIN VALLEY,CA,92708,ORANGE,22,6,LICENSED,5/14/2020,,05252025
RESIDENTIAL CARE ELDERLY,306006113,MILES PLACE OF FOUNTAIN VALLEY 2,"MILES PLACE, INC","AVENDANO, REINER",(949) 273-9951,9367 SISKIN AVENUE,FOUNTAIN VALLEY,CA,92708,ORANGE,22,6,LICENSED,3/29/2022,,05252025
RESIDENTIAL CARE ELDERLY,306005854,MILES PLACE OF SAN CLEMENTE,MILES PLACE INC.,"AVENDANO, REINER",(949) 273-9951,2825 CALLE GUADALAJARA,SAN CLEMENTE,CA,92691,ORANGE,22,6,CLOSED,,10/2/2020,05252025
RESIDENTIAL CARE ELDERLY,306005511,MILESTONE ELDER CARE,KONTAR ENTERPRISES INC,"KONTAR, JOHN",(949) 742-0247,25142 LAS BOLSAS,LAGUNA HILLS,CA,92653,ORANGE,22,6,CLOSED,4/8/2019,7/14/2021,05252025
RESIDENTIAL CARE ELDERLY,361881145,"MILEY'S ANGEL HOME CARE, LLC","MILEY'S ANGEL HOME CARE, LLC","AZAULA, MILAGROS",(909) 428-1824,16510 GALA AVE,FONTANA,CA,92337,SAN BERNARDINO,56,6,LICENSED,6/21/2021,,05252025
RESIDENTIAL CARE ELDERLY,197608158,MILITARY HOUSE,"BE WELL ADHC, LLC.",NARBEH BABAIANS,(310) 479-3602,2581 MILITARY AVENUE,LOS ANGELES,CA,90064,LOS ANGELES,11,6,CLOSED,1/4/2012,7/26/2021,05252025
RESIDENTIAL CARE ELDERLY,306001808,MILKY WAY GUEST HOME,"VITAL, CYNTHIA",CYNTHIA VITAL,(714) 772-7494,1748 W. SALLIE LN.,ANAHEIM,CA,92804,ORANGE,22,6,CLOSED,10/9/2003,1/26/2023,05252025
RESIDENTIAL CARE ELDERLY,306002928,MILKY WAY GUEST HOME II,"VITAL, CYNTHIA",CYNTHIA VITAL,(714) 772-3312,1774 W. CHALET AVENUE,ANAHEIM,CA,92804,ORANGE,22,6,CLOSED,6/24/2005,2/8/2021,05252025
RESIDENTIAL CARE ELDERLY,157206773,MILL BROOKS-SADDLEBACK,MILL BROOKS LLC,"HOUCK, HELEN S",(661) 833-1200,7312 SADDLEBACK DRIVE,BAKERSFIELD,CA,93309,KERN,24,4,CLOSED,8/23/2016,6/27/2023,05252025
RESIDENTIAL CARE ELDERLY,415600904,MILLBRAE ASSISTED LIVING CENTER LLC,"MILLBRAE ASST. LVG. CTR,LLC;MILLBRAE ASST.LVG HOME","LUCERO, MARY ANN",(650) 689-5776,1001 HEMLOCK AVE,MILLBRAE,CA,94030,SAN MATEO,14,48,CLOSED,12/16/2014,12/20/2021,05252025
RESIDENTIAL CARE ELDERLY,415601112,MILLBRAE ASSISTED LIVING HOME,MILLBRAE ASSISTED LIVING HOME LLC,"PO, GINGER",(650) 689-5776,1001 HEMLOCK AVE,MILLBRAE,CA,94030,SAN MATEO,14,48,LICENSED,12/21/2021,,05252025
RESIDENTIAL CARE ELDERLY,410508756,MILLBRAE BOARD & CARE HOME,"MADRIAGA, ELENA","MADRIAGA, ELENA",(650) 697-7170,815 MURCHISON DRIVE,MILLBRAE,CA,94030,SAN MATEO,14,6,LICENSED,4/26/1991,,05252025
RESIDENTIAL CARE ELDERLY,107202375,MILLBRAE CARE HOME,"LEYVA, TRIGONIO","ABALOS, CORA M",(559) 765-8335,1626 W MILLBRAE,FRESNO,CA,93711,FRESNO,24,6,LICENSED,7/22/2010,,05252025
RESIDENTIAL CARE ELDERLY,415600707,MILLBRAE FAMILY CARE HOME,JOSVER RESIDENTIAL CARE,"DE LOS REYES ANDAYA, JULIT",(650) 692-1297,487 ANITA DRIVE,MILLBRAE,CA,94030,SAN MATEO,14,6,LICENSED,8/17/2007,,05252025
RESIDENTIAL CARE ELDERLY,415601170,MILLBRAE PARADISE CARE HOME,SZB LLC,"CHEN, SOPHIA",(650) 697-2201,514 ANITA LANE,MILLBRAE,CA,94030,SAN MATEO,14,6,LICENSED,3/4/2024,,05252025
RESIDENTIAL CARE ELDERLY,410508755,MILLBRAE PARADISE RETIREMENT HOME,"SARIC, MARIA","SARIC, MARIA",(650) 697-2201,514 ANITA LANE,MILLBRAE,CA,94030,SAN MATEO,14,6,CLOSED,3/13/1991,3/3/2024,05252025
RESIDENTIAL CARE ELDERLY,107208973,MILLBROOK SENIOR CAREHOME,"JMJ CARESERVICES, LLC","BAUTISTA, ARLENE",(559) 704-6796,6720 N MILLBROOK AVE,FRESNO,CA,93710,FRESNO,24,6,CLOSED,11/6/2019,11/9/2023,05252025
RESIDENTIAL CARE ELDERLY,565800421,MILLENIUM CARE,MAYA X. DAVIDSZ,IRIS VAN KRALINGEN,(805) 526-4440,1555 HILGARD AVENUE,SIMI VALLEY,CA,93065,VENTURA,29,6,LICENSED,1/29/1999,,05252025
RESIDENTIAL CARE ELDERLY,565801056,MILLENNIUM CARE II,"DAVIDSZ, MAYA X.",IRIS VAN KRALINGEN,(805) 527-7798,5694 FEARING STREET,SIMI VALLEY,CA,93063,VENTURA,29,6,LICENSED,9/9/2004,,05252025
RESIDENTIAL CARE ELDERLY,435202802,MILLER GUEST HOME,"MILLER GUEST HOME, LLC","OCAMPO, ROSSINI DE",(408) 217-9473,1145 MILLER AVENUE,SAN JOSE,CA,95129,SANTA CLARA,26,6,CLOSED,2/23/2021,5/3/2022,05252025
RESIDENTIAL CARE ELDERLY,315920172,MILLPORT VILLAS,MILLPORT VILLAS INC,"JANKOWSKI, MICHAEL",(209) 319-3121,7641 MILLPORT DRIVE,ROSEVILLE,CA,95678,PLACER,59,6,CLOSED,,7/8/2024,05252025
RESIDENTIAL CARE ELDERLY,315920211,MILLPORT VILLAS,HANAN'S CARE INC,"AREFA, NEGASH",(916) 472-6669,7641 MILLPORT DRIVE,ROSEVILLE,CA,95678,PLACER,59,6,LICENSED,10/4/2024,,05252025
RESIDENTIAL CARE ELDERLY,415600033,MILLS ESTATE VILLA,CALIFORNIA DRIVE PARTNERS,"MONTANO, DELIA GODOY",(650) 692-0600,1733 CALIFORNIA DRIVE,BURLINGAME,CA,94010,SAN MATEO,14,47,LICENSED,2/15/1996,,05252025
